,0,1,2,3
1059,To My Heart,Mother Mother,Rock,"{'lyrics': ""I'm going back to the start\nThrough the darkness of my body parts\nOh Lord, there is horror in my bones\n\nI'm gonna swim in the sin\nAnd down the river of lost innocence\nOh Lord, spit me out into the ocean's arms\n'Cause I'm going back to my heart\n\nI'm gonna float down the throat\nWith every word I have misspoke about some folks\nI have tortured with my voice\n\nI'm gonna chase down the brain\nWith every thought I wish I didn't think\nAnd tell 'em you're not wrong\nYou're just in pain\n'Cause I'm going back to my heart today\n\nOh-oh-oh, my heart, oh-oh-oh, my heart\nOh-oh-oh, my beautiful and wretched heart\n\nI'm going back to the start\nThrough the darkness of my body parts\nOh Lord, there is horror in my bones\n\nI'm gonna swim in the sin\nAnd down the river of lost innocence\nOh Lord, spit me out into the ocean's arms\n'Cause I'm going back to my heart"", 'source': 'Source: Musixmatch'}"
1060,Love From The Other Side,Fall Out Boy,Rock,"{'lyrics': 'Model house like meltdowns\nStill a modern dream let down, it kills me\nYou know I\'m dying out here\nWhat would you trade the pain for?\nI\'m not sure\n\nWe were a hammer to the statue of David\nWe were a painting you could never frame and\nYou were the sunshine of my lifetime\nWhat would you trade the pain for?\n\nThis city always hangs a little bit lonely on me, loose\nLike a kid playing pretend in his father\'s suit\nI\'ll never go, I just want to be invited, oh\nGot to give up, get the feeling\nGet the feeling, don\'t fight it, fight it\n\nSending my love from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\nLove from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\n\nGeneration sleep\nI\'m falling in and out of love\nI\'m getting that tilted feeling out here\nWhat would you trade the pain for?\nI\'m not sure\n\nNowhere left for us to go but heaven\nA summer falling through our fingers again and\nYou were the sunshine of my lifetime\nWhat would you trade the pain for?\n\nWe\'re told we gotta get ahead, yeah, no matter what it takes\nBut there\'s no way off the hamster wheel on this rat race\nI\'ll never go, I just want to be invited, oh\nGot to give up, get the feeling\nGet the feeling, don\'t fight it, fight it\n\nSending my love from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\nLove from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\n\nI saw you in a bright clear field\nHurricane heat in my head\nThe kinda pain you feel to get good in the end, good in the end\nInscribed like stone and faded by the rain\n""Give up what you love\nGive up what you love before it does you in""\n\nSending my love from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\nLove from the other side of the apocalypse\nAnd I just about snapped\nDon\'t look back\nEvery lover\'s got a little dagger in their hand\n\nSending my love\nSending my love', 'source': 'Source: Musixmatch'}"
1061,You Can Let Go,Half Moon Run,Rock,"{'lyrics': 'Wind blowin\' on my face\nSidewalk flyin\' beneath my bike\nA five year-old\'s first taste\nOf what freedom\'s really like\n\nHe was runnin\' right beside me\nHis hand holdin\' on the seat\nI took a deep breath and hollered\nAs I headed for the street\n\nYou can let go now, daddy\nYou can let go\nOh, I think I\'m ready\nTo do this on my own\n\nIt\'s still a little bit scary\nBut I want you to know\nI\'ll be ok now, daddy\nYou can let go\n\nI was standin\' at the altar\nBetween the two loves of my life\nTo one I\'ve been a daughter\nTo one I soon would be a wife\n\nWhen the preacher asked\n""Who gives this woman?""\nDaddy\'s eyes filled up with tears\nHe kept holdin\' tightly to my arm\n\'Till I whispered in his ear\n\nYou can let go now, daddy\nYou can let go\nOh, I think I\'m ready\nTo do this on my own\n\nIt still feels a little bit scary\nBut I want you to know\nI\'ll be ok now, daddy\nYou can let go\n\nIt was killin\' me to see\nThe strongest man I ever knew\nWastin\' away to nothin\'\nIn that hospital room\n\n""You know he\'s only hangin\' on for you""\nThat\'s what the night nurse said\nMy voice and heart were breakin\'\nAs I crawled up in his bed\nAnd said\n\nYou can let go now, daddy\nYou can let go\nYour little girl is ready\nTo do this on my own\n\nIt\'s gonna be a little bit scary\nBut I want you to know\nI\'ll be ok now, daddy\nYou can let go\nYou can let go', 'source': 'Source: Musixmatch'}"
1062,ONE MORE TIME,blink-182,Rock,"{'lyrics': ""One more time \r\nOne more time \r\n\r\nOne more time, we're gonna celebrate\r\nOh yeah, alright, don't stop the dancing\r\nOne more time, we're gonna celebrate\r\nOh yeah, alright, don't stop the dancing\r\n\r\nOne more time, we're gonna celebrate\r\nOh yeah, alright, don't stop the dancing\r\nOne more time, we're gonna celebrate\r\nOh yeah \r\n\r\nOne more time \r\n\r\nOne more time, we're gonna celebrate\r\nOh yeah, alright, don't stop the dancing\r\nOne more time, we're gonna celebrate\r\nOh yeah, don't stop the dancing\r\n\r\nOne more time, mmm\r\nYou know I'm just feelin'\r\nCelebration\r\nTonight\r\nCelebrate\r\nDon't wait too late, mmm, no\r\nWe don't stop, you can't stop\r\nWe're gonna celebrate\r\n\r\nOne more time\r\nOne more time \r\n\r\nOne more time, a celebration\r\nYou know we're gonna do it right\r\nTonight, hey, just feeling\r\nMusic's got me feeling the need\r\nNeed, yeah\r\nCome on, alright\r\n\r\nWe're gonna celebrate\r\nOne more time\r\nCelebrate and dance so free\r\nMusic's got me feeling so free\r\nCelebrate and dance so free\r\nOne more time \r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free\r\nOne more time\r\n\r\nMusic's got me feeling so free\r\nWe're gonna celebrate\r\nCelebrate and dance so free"", 'source': 'Source: LyricFind'}"
1063,God Is a Circle,Yves Tumor,Rock,"{'lyrics': 'Sometimes, it feels like\nThere\'s places in my mind that I can\'t go\nThere\'s people in my life I still don\'t know, yeah\nWander \'round, I just feel like a ghost in a well\n\nKnowing you\nYou might hurt someone\nOr yourself\nYou would tear\nEverything apart\nIf you found out\nEveryone you loved loved someone else\n\nSometimes, I wake up\nI feel like I\'m fluorescent holding you\nWhole time\nIt felt like someone else\nWas looking up at me like I was a newborn baby\n\nEverything around us feels unclean\nMy mama said that God sees everything\nAnd my daddy always taught me to say\n""Thank you,"" ""Yes, ma\'am,"" and ""No, sir,"" ""Yes, please""\n\n(What\'s that? Ooh, shh)\nLay down, can we please?\nSilence is what I need\nCan we bury the hatchet?\nI can\'t help myself\nSilence is what I need\n\nFlawless lover\nDelicate mistress\nAdore being your little girl\nMaybe I made it all up in my head\nIt\'s a version of myself and everyone else I\'ve loved\n\nKnowing you\nYou might hurt someone\nOr yourself\nYou would tear\nEverything apart\nJust to find out\nEveryone you loved loved someone else\n\nSometimes, it feels like\nThere\'s pieces of my heart that I can\'t show\nThere\'s parts of me I still don\'t even know yet\nI wander \'round, I just feel like a nobody\n\nLoving you\nIt hurts sometimes\nBut I can\'t help it\n\'Cause it makes me feel alive\n\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n(Same old dance) same old dance\n\n(Same old dance, same old dance)\n(Same old dance, same old dance)\n(Same old dance, same old dance)\n(Same old dance, same old dance)', 'source': 'Source: Musixmatch'}"
1064,Underground,City and Colour,Rock,"{'lyrics': 'Straight from the underworld, coming for the underground\nMothafuckaz better watch out for dem hell houndz\nUNAVERAGE be the mothafuckin gang that you all doubt\nRisen out the purgatory all you bitches done now\n\nStraight from the underworld, coming for the underground\nMothafuckaz better watch out for dem hell houndz\nUNAVERAGE be the mothafuckin gang that you all doubt\nRisen out the purgatory all you bitches done now\n\nDeath is your minimal punishment\nBoy you better recognize who you fuckn round with\nOnly fought a couple times\nI never busted any crimes but that don\'t mean, I won\'t put you in the coffin\nWalk-in round with a noose, or a fuckin 22, when I see your ass in person get to poppin\nI can\'t stand a fuckin\' artist who can\'t get it on their own\nTaking handouts like a bum who is jobless\n\nClickity clock with the Glock did you get popped?\nWhen it\'s crunch time bet you all run off!\nFifty fifty chance that you rats all gon get chopped\nPlaying all these bitches like an avatar\nYea it\'s 50k for a verse or a punchline\nCause without you we doing this shit just fine\nSee we learned a lot of things from this shitty generation\nEverything is bout an image for some fuckin recognition\n\nOuuu, wait\nI think that I\'m saying shit hitting they soft spot\nOu, aye\nThe reason they can\'t stand the truth, cuz they\'re all dropped\nAye\nFuck what they think \'cause I promise, I won\'t stop\nAye\nThe wolf that is climbing the hill is already on top\n\nStraight from the underworld, coming for the underground\nMothafuckaz better watch out for dem hell houndz\nUNAVERAGE be the mothafuckin gang that you all doubt\nRisen out the purgatory all you bitches done now\n\nStraight from the underworld, coming for the underground\nMothafuckaz better watch out for dem hell houndz\nUNAVERAGE be the mothafuckin gang that you all doubt\nRisen out the purgatory all you bitches done now\n\nEverybody dissin and missin my fucken punch line\nHatin on my elements, never willing top mine\nBunch a little bitches in the back, but we front line\nPut me to the test and fuck yo challenge, make it all mine\n\nCan\'t believe this shit so crazy\nMight as well just drive miss daisy\nWhy do y\'all just plain start hatin?\nY\'all just mad cause we in your bitch playlist\n\nShots went off did you hear that sound?\nOne went missin, the other one found\nOne chopped up, put the other in the ground\nIf you fucken with the gang, means you fucken with the hounds\nHave you heard?\nShootin at my vessel won\'t work\nI think you really fucken missheard\nDeath doesn\'t really occur\nDisturbed in your conscience as you watch the fucken underworld turn\n\n""Hey guys you sound like $B\nYou should really hit\'em up do a feature for free""\nNah bitch this be that UAV\nFucken sick of you bitches thinkin they runnin the scene\n""But guys i\'m really thinkin\' that you should\nIf you ever got chance do you think you would?""\nHonestly, you really must have misunderstood\nWe only fucken with the sound from the hounds in the woods', 'source': 'Source: Musixmatch'}"
1065,Overcome,Nothing But Thieves,Rock,"{'lyrics': ""Now the darkness fades\r\nInto new beginnings\r\nAs we lift our eyes to a hope beyond\r\nAll creation waits\r\nWith an expectation\r\nTo declare the reign of the Lord our God\r\n\r\nWe will not be moved\r\nWhen the earth gives way\r\nFor the risen One has overcome\r\nAnd for every fear\r\nThere's an empty grave\r\nFor the risen One has overcome\r\n\r\nNow the silence breaks\r\nIn the name of Jesus\r\nAs the heavens cry let the earth respond\r\nAll creation shouts\r\nWith a voice of triumph\r\nTo declare the reign of the Lord our God\r\n\r\nWe will not be moved\r\nWhen the earth gives way\r\nFor the risen One has overcome\r\nAnd for every fear\r\nThere's an empty grave\r\nFor the risen One has overcome\r\n\r\nHe shall reign forever\r\nStrongholds now surrender\r\nFor the Lord our God has overcome\r\nWho can be against us?\r\nJesus our Defender\r\nHe is Lord and He has overcome\r\nHe shall reign forever\r\nStrongholds now surrender\r\nFor the Lord our God has overcome\r\nWho can be against us?\r\nJesus our Defender\r\nHe is Lord and He has overcome!\r\n\r\nWe will not be moved\r\nWhen the earth gives way\r\nFor the risen One has overcome (yes, he has)\r\nAnd for every fear\r\nThere's an empty grave\r\nFor the risen One has overcome\r\nWe will not be moved\r\nWhen the earth gives way\r\nFor the risen One has overcome\r\nAnd for every fear\r\nThere's an empty grave\r\nFor the risen One has overcome"", 'source': 'Source: LyricFind'}"
1066,Drones,grandson,Rock,"{'lyrics': ""Home, It's becoming a killing field\r\nThere's a cross hair locked on my heart\r\nWith no recourse and there's no one behind the wheel\r\nHell fire, You're wiping me out, killed by\r\n\r\nDrones, (killed by)\r\nDrones (killed by)\r\n\r\nYou rule with lies and deceit\r\nAnd the world is on your side\r\n'Cause you've got the CIA, babe\r\nBut all you've done is brutalise\r\nDrones!\r\n\r\nWar, war just moved up a gear\r\nI don't think I can handle the truth\r\nI'm just a pawn\r\nAnd we're all expendable\r\nIncidentally\r\nElectronically erased\r\nBy your\r\n\r\nDrones, (killed by)\r\nDrones (killed by)\r\n\r\nYou kill by remote control\r\nThe world is on your side\r\nYou've got reapers and hawks babe\r\nNow I am radicalized\r\nDrones!\r\n\r\nYou rule with lies and deceit\r\nAnd the world is on your side\r\n'Cause you've got the CIA, babe\r\nBut all you've done is brutalise\r\n\r\nYou kill by remote control\r\nThe world is on your side\r\nYou've got reapers and hawks babe\r\nNow I am radicalized\r\nHere come the drones!\r\nHere come the drones!\r\nHere come the drones!"", 'source': 'Source: LyricFind'}"
1067,Rescued,Foo Fighters,Rock,"{'lyrics': ""It came in a flash\nIt came out of nowhere\nIt happened so fast\nAnd then it was over\n\nAre you thinking, what I'm thinking?\nIs this happening now?\nAre you feeling, what I'm feeling?\nThis is happening now\n\nWe're all free to some degree to dance under the lights\nI'm just waiting to be rescued, bring me back to life\nKings and queens and in-betweens, we all deserve the right\nI'm just waiting to be rescued\nI'm just waiting to be rescued\nWe're all just waiting to be rescued tonight\n\nI fell in a trap\nMy heart's getting colder\nIt's coming on fast\nIt's over my shoulder\n\nAre you thinking, what I'm thinking?\nIs this happening now?\nAre you feeling, what I'm feeling?\nThis is happening now\n\nWe're all free to some degree to dance under the lights\nI'm just waiting to be rescued, bring me back to life\nKings and queens and in-betweens, we all deserve the right\nI'm just waiting to be rescued\nI'm just waiting to be rescued\nWe're all just waiting to be rescued tonight\n\nTo be rescued tonight\nRescue me tonight\nRescue me tonight\n\nWe're all free to some degree to dance under the lights\nI'm just waiting to be rescued, bring me back to life\nKings and queens and in-betweens, we all deserve the right\nI'm just waiting to be rescued\nI'm just waiting to be rescued\nWe're all just waiting to be rescued tonight\n\nTo be rescued tonight\nRescue me tonight\nRescue me tonight"", 'source': 'Source: Musixmatch'}"
1068,Nothing Matters,The Last Dinner Party,Rock,"{'lyrics': ""Now the skies could fall\r\nNot even if my boss should call\r\nThe world it seems so very small\r\n'Cause nothin' even matters, at all\r\n\r\nSee nothin' even matters\r\nSee nothin' even matters at all\r\nNothin' even matters\r\nNothin' even matters at all\r\n\r\nSee, I don't need no alcohol\r\nYour love makes me feel ten feet tall\r\nWithout it, I'd go through withdrawal\r\n'Cause nothin' even matters at all\r\n\r\nNothin' even matters\r\nNothin' even matters at all\r\nNothin' even matters\r\nNothin' even matters at all\r\n\r\nThese buildings could drift out to sea\r\nSome natural catastrophe\r\nStill there's no place I'd rather be\r\n'Cause nothin' even matters to me\r\n\r\nSee nothin' even matters\r\nSee nothin' even matters to me\r\nNothin' even matters\r\nNothin' even matters to me\r\n\r\nYou're part of my identity\r\nI sometimes have the tendency\r\nTo look at you religiously, baby\r\n'Cause nothin' even matters to me\r\n\r\nNothin' even matters\r\nNothin' even matters to me\r\nSaid I don't, my baby, baby\r\n\r\nNow you won't find me at no store\r\nI have no time for manicures\r\nWith you it's never either or\r\n'Cause nothin' even matters no more\r\n\r\nSee nothin', it don't matters\r\nSee nothin' even matters no more\r\nNothin' even matters\r\nNothin' even matters no more\r\n\r\nNow my team could score\r\nAnd make it to the final four\r\nJust repossess my 4 x 4\r\n'Cause nothin' even matters no more\r\n\r\nNothin' even matters\r\nNothin' even matters no more\r\nNothin' even matters, oh oh oh\r\n\r\nTo me, to me, to me, to me, to me\r\nTo me, to me, to me, to me, to me\r\n\r\nNothing even matters\r\nNothing even matters no more\r\nNothing even matters\r\nNothing even matters\r\n\r\nNothing but you\r\nNothing but you\r\nNothing but you"", 'source': 'Source: LyricFind'}"
1069,Unhappier,laye,Rock,"{'lyrics': ""Picture perfect at the worst of you\r\nAlways say you know when you know and I knew\r\nNever been so high or so blue\r\nYou say that you feel it too\r\n\r\nSo how could you, how could you go and fall for that?\r\nHow could she, how could she compare to what we had?\r\n\r\nI hope you're unhappier\r\nThink of me when you're in her\r\nShe's making you miss me more\r\nI hope you are unhappier\r\nSo do you go back and forth\r\nLike your heart's still stuck at war?\r\nWhen sparks fly, I hope it burns\r\nI hope you are unhappier\r\n\r\nIf she's your type then what was I?\r\nDo you like her height and her bright blue eyes?\r\nShe's petite and so sweet, worst of all, she's not me\r\nSo how good can it really be?\r\n\r\nSo how could you, how could you go and fall for that?\r\nHow could she, how could she compare to what we had?\r\n\r\nI hope you're unhappier\r\nThink of me when you're in her\r\nShe's making you miss me more\r\nI hope you are unhappier\r\nSo do you go back and forth\r\nLike your heart's still stuck at war?\r\nWhen sparks fly, I hope it burns\r\nI hope you are unhappier\r\n\r\nOh, how could you\r\nWant someone new?\r\nYou don't need to\r\nI hope you are unhappier\r\nOh, how could you\r\nWant someone new\r\nOh, if you do\r\nI hope you are unhappier\r\n\r\nI hope you're unhappier\r\nThink of me when you're in her\r\nShe's making you miss me more\r\nI hope you are unhappier\r\nSo do you go back and forth\r\nLike your heart's still stuck at war?\r\nWhen sparks fly, I hope it burns\r\nI hope you are unhappier"", 'source': 'Source: LyricFind'}"
1070,Lost,Linkin Park,Rock,"{'lyrics': ""I'm just coastin' drop the top and roll straight S.M.V.C.C. 805 it's the ghost stay aint no place that i'd rather be then the B.I.G B.A.D 1 3 C, I got love for the place that raise me even though times get a lil' crazy, so i got to give love back either gang bang, slang or pull the mutha fucken jack it's all good cuz im drivng nice cars pretty soon 25 to life spent behind bars, a wicked sly's life, cuz im a son of a gun im only 19 but would i live to see 21, a loco mutha fucka so u better step back try to pull the jack, ill feed you bullets for a fukin snack better pero orita cuz im puffin from leno coming from detroit por vida loco surenos,\n\n(Delux)\n\nTwo locs matching deep in my city once im acting up just because I'm rollin clean in a chevy, dark skin mexican standind 5'4 put the pedal to the flow hear my glass backs roll hit the the corner with the passion on my way to the market T-Dre shotgun with a blunt ready to spark it 10: 30 in the morning but i dont care, hit the switch lock it up chronic smoke in the air, hard player with my locs on ready to make some hits ready to make some grip with my dope ass lyrics stacking up a platefull like regular, and just then my homie bones hits me up I'ma cellular feeling to brake up a couple blocks for my ass up and hook it on up as i cruise down the over pass hit the stuff filling on my cup to the rim on the y feeling g or from the bud so i grin\n\nWhen i get lost,\nFeel i been crossed,\nShe will be my salvation\n\n(T-Dre)\n\nNow let meduce the g's the L.O.C'S let met get my self bombed as im gliding through the breeze keep on mashing as the tracks keep dropping aint no stoppin when im up and hoppin drop the ride to the side causin havoc with my homies blowing indo smoke dipped and brued the oldies every day and my life is getting better and better blaze n blaze it in the morning and im down for whatever, Delux pick me up around 11: 32 i said im down to claim but what the hell we gonna do Santa Maria S.M.V.P scooped up jay bird ray ray and the C.U.Z i got my cuzzin buzzen in the back chronic smoke hot box full of contact now it's time to roll to the pot hole and spark another bowl another rag time foe on the 3 times go,.now were we go from here keep on mashing through the central coast atmosphere for the things that i do i know im gonna pay the cost for the reason why im gone, for the reason why im lost .\n\n(Delux)\n\nLiving week by week living day by day doing what i gotta do to get my furtunate fame but im lost in th system not made for me so i'm suppose to break rocks straight i for my g, nineteen with a mexicano lame throwin up on my colors red, white, to the green always lookin out just in case fools jump me time to handle shit and break em' off real quick take a look around you fool then take a close look cuz all the shit I see i jot it down in my rhyme book my homies droppin off like cause a nine to five the one's that survive take a steel cage bus ride but for me i ain't sucka free cuz punks is tryin to take it easy lessy comin straight from the get go we ran our own undercover gang though fools didn't even know that we was real to the heart see bein true to the game that's how it is in the S.M.V. holdin on to my dreams makin to the top but i'm stuck payin cost fucked up cuz a whole lost\n\nWhen i get lost,\nFeel i been crossed,\nShe will be my salvation\n\nYeah, special shouts goes out to my homies that was down from the get go like my homie cuz wasup dawg\nYeah wasup to my homie j-bird yeah ray ray kickin know what i'm sayin yeah I gotta say wasup to my homie bonez yeah sparked off straight cruisin from the l que que no yeah wasup crazy joseph yeah cuevo keep poundin loc yeah wasup s.d. yeah my homie loc yeah keep spinnin 'em homies straight from the S.M.V. Southern California Mexican Invasion yeah\n\nWhen I get lost\nWhen I get lost\n\nWhen I get lost lost lost lost lost lost"", 'source': 'Source: Musixmatch'}"
1071,Francesca,Hozier,Rock,"{'lyrics': 'Do you think I\'d give up?\nThat this might\'ve shook the love from me\nOr that I was on the brink\nHow could you think, darlin\', I\'d scare so easily?\n\nNow that it\'s done\nThere\'s not one thing that I would change\nMy life was a storm since I was born\nHow could I fear any hurricane?\n\nIf someone asked me at the end\n\nI\'d tell them, ""Put me back in it""\nDa-, darlin\', I would do it again (ah-ah, ah-ah)\nIf I could hold you for a minute\nDa-, darlin\', I\'d go through it again (ah-ah, ah-ah)\n\nI would still be surprised I could find you\nDarlin\', in any life\nIf I could hold you for a minute\nDa-, darlin\', I would do it again (ah-ah, ah-ah)\n\nFor all that was said\nOf where we\'d end up at the end of it\nWhen the heart would cease, ours never knew peace\nWhat good would it be on the far side of things?\n\nIt was too soon\nWhen that part of you was ripped away\nA grip taking hold like a cancer that grows\nEach piece of your body that it takes\n\nThough I know my heart would break\n\nI\'d tell them, ""Put me back in it""\nDa-, darling, I would do it again (ah-ah, ah-ah)\nIf I could hold you for a minute\nDa-, darling, I\'d go through it again (ah-ah, ah-ah)\n\nI would still be surprised I could find you\nDarlin\', in any life\nIf I could hold you for a minute\nDa-, darling, I would do it again (ah-ah, ah-ah)\n\nI would not change it each time\nHeaven is not fit to house a love like you and I\nHeaven is not fit to house a love like you and I\nI would not change it each time\nHeaven is not fit to house a love like you and I\nHeaven is not fit to house a love like you and I\nI would not change it each time\nHeaven is not fit to house a love like you and I\nHeaven is not fit to house a love like you and I', 'source': 'Source: Musixmatch'}"
1072,Eyes Wide Shut,ILLENIUM,Rock,"{'lyrics': ""They say that some things are too good to be true\nBut I just hope they ain't talking about you\nI heard that everything must come to an end\nBut I just can't imagine me without you\n\nDon't tell me I'm dreamin'\nCause if I've been dreamin'\nI don't ever want to wake up\nSo in love with this feelin'\nTonight I'll be sleepin'\nSleepin' with my eyes wide shut\n\nOut of sight they say out of mind\nBut your image will remain til the end of time\nI'm strong but hearts are easy to break\n\nDon't want to fall if there ain't no one to catch me\nMe without you, me without you\n\nOh, I don't ever want to wake up\n\nDon't tell me I'm dreamin'\nCause if I've been dreamin'\nI don't ever want to wake up\nSo in love with this feelin'\nTonight I'll be sleepin'\nSleepin' with my eyes wide shut"", 'source': 'Source: LyricFind'}"
1073,Call Me What You Like,Lovejoy,Rock,"{'lyrics': ""I never was a fan of the internet\r\nShe never felt that safe in her own head\r\nWe both hate the news\r\nThere for the grace of God goes you\r\nSmiling when I ask if she's bored yet\r\nWe wonder if we took it too far\r\nBoth taste confused\r\nDarling, what am I to do?\r\n\r\nI like to think that I'm\r\nThe only guy she'll see tonight\r\nYou can call me what you like\r\nAs long as you call me\r\n\r\nAnd you can kiss the skin\r\nFrom my lips if it makes you feel good\r\nI'm not sure if you want it\r\nI'm not sure if you need me, too\r\nAnd you can taste the beer\r\nOn every guy that talks to you\r\nBut you can't stay awake forever\r\nNo, you can't stay awake forever\r\n\r\nAnd so I find myself in your mum's bedroom\r\nFighting with the pink roller blinds\r\nIt's on pay-per-view\r\nJust place your bets on whose lost their minds\r\nYou take a pirouette under duvet set\r\nYou sigh with perfect pitch on the time\r\nI'm not made for you\r\nBut what else is new?\r\nOh, Lord she tells me that it's nothing\r\nI really hope it's nothing\r\n\r\nYou can kiss the skin\r\nFrom my lips if it makes you feel good\r\nI'm not sure if you want it\r\nI'm not sure if you need me, too\r\nAnd you can taste the beer\r\nOn every guy that talks to you\r\nBut you can't stay awake forever\r\nNo, you can't stay awake forever\r\n\r\nThis just in, I am a total fucking dumbass\r\nAnd I've come to the uncomfortable conclusion\r\nI'm gonna be spending the rest of my life in a state\r\nOf constant paranoia\r\nJust let me follow you\r\nAnd I'll proceed to bang my head on every doorway\r\nAnd doorframe you see suitable for us to go through\r\nAnd I've found that the road to happiness\r\nIs paved with rows and rows of very tempting parking spaces\r\nI'm not paranoid, I'm a realist\r\nI know you're gonna kill me\r\n\r\nYou can kiss the skin\r\nFrom my lips if it makes you feel good\r\nI'm not sure if you want it\r\nI'm not sure if you need me, too\r\nAnd you can taste the beer\r\nOn every guy that talks to you\r\nBut you can't stay awake forever\r\nBut you can't stay awake forever\r\n\r\nAnd you can kiss the skin\r\nFrom my lips if it makes you feel good\r\nI'm not sure if you want it\r\nI'm not sure if you need me, too\r\nAnd you can taste the beer\r\nOn every guy that talks to you\r\nBut you can't stay awake forever (you can't stay awake)\r\nYou can't stay awake forever (you can't stay awake forever)"", 'source': 'Source: LyricFind'}"
